show_id,type,title,director,country
s3846,TV Show,Cinta 100KG,Not Given,Pakistan
s250,Movie,The Loud House Movie,Dave Needham,Not Given
s251,Movie,A Faraway Land,Veronica Velasco,Not Given
s253,Movie,Black Island,Miguel Alexandre,Not Given
s256,Movie,Memories of a Murderer: The Nilsen Tapes,Michael Harte,Not Given
s259,Movie,Out of my league,Alice Filippi,Not Given
s257,Movie,Nneka The Pretty Serpent,Tosin Igho,Not Given
s3847,TV Show,Cinta Iris,Not Given,Pakistan
s271,Movie,Beckett,Ferdinando Cito Filomarino,Italy
s3848,TV Show,Cinta Si Wedding Planner,Not Given,Pakistan
s3849,TV Show,Cinta Teruna Kimchi,Not Given,Pakistan
s274,TV Show,Gone for Good,Juan Carlos Medina,France
s3850,TV Show,Secret of Success,Not Given,Pakistan
s3851,TV Show,The Missing Menu,Not Given,Pakistan
s277,TV Show,Valeria,Inma Torrente,Spain
s3852,TV Show,Unchained Fate,Not Given,Pakistan
s279,Movie,Lokillo: Nothing's the Same,Julián Gaviria,Colombia
s280,Movie,Monster Hunter: Legends of the Guild,Steven Yamamoto,United States
s3854,TV Show,I Have a Script,Not Given,Pakistan
s282,Movie,Brother Jekwu,Charles Uwagbai,Nigeria
s283,Movie,La diosa del asfalto,Julián Hernández,Mexico
s284,Movie,Misha and the Wolves,Sam Hobkinson,Belgium
s285,Movie,The Kissing Booth 3,Vince Marcello,United Kingdom
s286,Movie,The Railway Man,Jonathan Teplitzky,Switzerland
s3857,TV Show,What If?,Not Given,Pakistan
s3910,Movie,Super Monsters Furever Friends,Not Given,Pakistan
s3954,TV Show,Kicko & Super Speedo,Not Given,Pakistan
s3969,TV Show,The Terminal,Not Given,Pakistan
s3977,TV Show,The Eagle of El-Se'eed,Not Given,Pakistan
s3985,TV Show,The 10 Sins,Not Given,Pakistan
s3988,Movie,Antoine Griezmann: The Making of a Legend,Not Given,Pakistan
s3997,TV Show,09-Feb,Not Given,Pakistan
s4013,TV Show,My Pride,Not Given,Pakistan
s4016,TV Show,The Disappearance of Madeleine McCann,Not Given,Pakistan
s4036,TV Show,The Confrontation,Not Given,Pakistan
s4056,TV Show,Larva Island,Not Given,Pakistan
s4057,TV Show,Losers,Not Given,Pakistan
s4106,TV Show,Larry Charles' Dangerous World of Comedy,Not Given,Pakistan
s4110,TV Show,The 43,Not Given,Pakistan
s4718,TV Show,Dinotrux Supercharged,Not Given,Pakistan
s4150,TV Show,Paprika,Not Given,Pakistan
s291,Movie,Untold: Malice at the Palace,Floyd Russ,United States
s4172,TV Show,The Perfect Match,Not Given,Pakistan
s293,Movie,Quartet,Dustin Hoffman,United Kingdom
s294,Movie,Slay,Adze Ugah,South Africa
s296,Movie,The Paper Tigers,Quoc Bao Tran,United States
s4180,TV Show,Memory Love,Not Given,Pakistan
s298,TV Show,Navarasa,"Bejoy Nambiar, Priyadarshan, Karthik Narain, Vasanth Sai, Karthik Subbaraj, Arvind Swamy, Rathindran R Prasad, Sarjun, Gautham Vasudev Menon",India
s299,Movie,Quam's Money,Kayode Kasum,Nigeria
s300,Movie,The Swarm,Just Philippot,France
s301,Movie,Vivo,"Kirk DeMicco, Brandon Jeffords",Canada
s302,Movie,Chennai Express,Rohit Shetty,India
s303,Movie,City of God: 10 Years Later,"Cavi Borges, Luciano Vidigal",Brazil
s304,Movie,Esperando la carroza,Alejandro Doria,Argentina
s305,Movie,Lady Boss: The Jackie Collins Story,Laura Fairrie,United Kingdom
s306,Movie,Tango Feroz,Marcelo Piñeyro,Argentina
s4185,TV Show,Trigger Warning with Killer Mike,Not Given,Pakistan
s4200,TV Show,Back with the Ex,Not Given,Pakistan
s4216,TV Show,See You in Time,Not Given,Pakistan
s4251,TV Show,Pioneers: First Women Filmmakers*,Not Given,Pakistan
s4231,Movie,Bill Hicks: Reflections,Not Given,Pakistan
s4266,TV Show,Single Ladies Senior,Not Given,Pakistan
s4306,TV Show,Inside the Real Narcos,Not Given,Pakistan
s4341,TV Show,Haunted House,Not Given,Pakistan
s4345,Movie,Oddbods: The Festive Menace,Not Given,Pakistan
s4372,TV Show,Kulipari: Dream Walker,Not Given,Pakistan
s307,Movie,'76,Izu Ojukwu,Nigeria
s308,Movie,Aftermath,Peter Winther,United States
s309,Movie,American Masters: Inventing David Geffen,Susan Lacy,United States
s4373,TV Show,Paap-O-Meter,Not Given,Pakistan
s311,TV Show,Cocaine Cowboys: The Kings of Miami,Billy Corben,United States
s4390,TV Show,Beyblade Burst Evolution,Not Given,Pakistan
s4462,TV Show,The Great British Baking Show: The Beginnings,Not Given,Pakistan
